Date;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet;Nombre de circulations prévues;Nombre de trains annulés;Commentaire annulations;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ;Retard moyen de tous les trains au départ;Commentaire retards au départ;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée;Retard moyen de tous les trains à l'arrivée;Commentaire retards à l'arrivée;Nombre trains en retard > 15min;Retard moyen trains en retard > 15 (si liaison concurrencée par vol);Nombre trains en retard > 30min;Nombre trains en retard > 60min;Prct retard pour causes externes;Prct retard pour cause infrastructure;Prct retard pour cause gestion trafic;Prct retard pour cause matériel roulant;Prct retard pour cause gestion en gare et réutilisation de matériel;Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)
2020-07;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;276;192;1;;69;14.71618357487922;4.929319371727748;;30;65.72611111111111;10.947294938917974;;30;65.72611111111111;17;10;31.034482758620683;31.034482758620683;10.344827586206895;20.68965517241379;3.448275862068965;3.448275862068965
2020-08;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;276;194;3;;82;16.576829268292695;6.761169284467723;;23;92.33478260869566;11.63621291448516;;23;92.33478260869566;14;7;52.17391304347826;26.08695652173913;0.0;13.043478260869565;4.3478260869565215;4.3478260869565215
2020-09;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;278;198;1;;61;6.649999999999998;1.6668358714043972;;31;35.35806451612903;6.281133671742805;;33;38.581250000000004;16;5;43.33333333333333;23.33333333333333;23.33333333333333;9.999999999999998;0.0;0.0
2020-10;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;276;152;4;;57;15.23684210526316;5.58322072072072;;16;49.46354166666667;6.15213963963964;;18;54.150000000000006;11;7;43.75;18.75;25.0;12.5;0.0;0.0
2020-11;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;274;63;9;;36;4.328240740740742;2.7577160493827164;;10;78.15;15.121296296296292;;10;78.15;8;5;20.0;50.0;10.0;10.0;10.0;0.0
2020-12;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;263;160;8;;89;5.070411985018724;2.8525219298245603;;25;39.56066666666666;7.855701754385968;;25;39.56066666666666;11;4;47.999999999999986;35.99999999999999;7.999999999999999;3.9999999999999996;3.9999999999999996;0.0
2021-01;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;261;181;0;;21;26.7047619047619;3.12513812154696;;31;61.1731182795699;11.896040515653802;;32;59.7541666666666;20;10;51.61290322580649;19.3548387096774;0.0;12.903225806451598;6.4516129032258105;9.67741935483871
2021-02;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;260;159;1;;25;20.6506666666667;3.36634615384615;;27;43.4592592592593;9.94626068376068;;29;41.5149425287356;17;3;22.2222222222222;51.851851851851805;3.7037037037037;0.0;7.407407407407408;14.8148148148148
2021-03;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;259;163;3;;18;35.8240740740741;4.06708595387841;;27;45.5623456790123;8.57651991614256;;28;44.489880952381;16;5;25.925925925925903;18.5185185185185;0.0;7.407407407407408;18.5185185185185;29.6296296296296
2021-04;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;263;175;46;;15;33.3155555555556;3.79108527131785;;17;53.4813725490196;8.02648578811369;;19;49.4614035087719;13;5;41.1764705882353;11.7647058823529;0.0;11.7647058823529;5.88235294117647;29.411764705882398
2021-05;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;263;168;3;;9;16.5111111111111;0.9380808080808078;;12;36.6138888888889;3.40060606060606;;12;36.6138888888889;10;0;25.0;33.3333333333333;8.33333333333333;8.33333333333333;0.0;25.0
2021-06;National;TOULOUSE MATABIAU;PARIS MONTPARNASSE;262;204;0;;23;23.217391304347803;2.57303921568628;;30;47.9311111111111;8.30539215686274;;33;44.9691919191919;19;8;30.0;33.3333333333333;6.66666666666667;16.6666666666667;3.33333333333333;10.0
